TYPE	SPLIT	CONTEXT	GRAMMAR_PATTERN	LANGUAGE	SYSTEM_NAME	GITHUB_URL
bool	Nav Visible	ATTRIBUTE	N NM	C	bullet3	https://github.com/bulletphysics/bullet3
int	nbr gaps	DECLARATION	NM NPL	C	blender	https://github.com/blender/blender
int	nd Formula	DECLARATION	NM N	C++	calligra	https://github.com/KDE/calligra
int	nearest point	DECLARATION	NM N	C	blender	https://github.com/blender/blender
bool	need fallback	DECLARATION	V N	C	blender	https://github.com/blender/blender
guint	neighbor pos	DECLARATION	NM N	C	gimp	https://github.com/GNOME/gimp
NetStateRuleDefaultTypeInternal	Net State Rule Default Type Internal	CLASS	NM NM NM NM N NM	C++	opencv	https://github.com/opencv/opencv
Object	network Security Policy	DECLARATION	NM NM N	Java	okhttp	https://github.com/square/okhttp
NewAggregateBuilderMap	New Aggregate Builder Map	CLASS	NM NM NM N	C++	swift	https://github.com/apple/swift
Exchange	new Exchange	FUNCTION	NM N	Java	okhttp	https://github.com/square/okhttp
MappedFieldType	new Field Type	PARAMETER	NM NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
List	new Files	PARAMETER	NM NPL	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
gint	new image height	DECLARATION	NM NM N	C	gimp	https://github.com/GNOME/gimp
int	new order	DECLARATION	NM N	C	blender	https://github.com/blender/blender
String	new Rule Text	DECLARATION	NM NM N	Java	antlr4	https://github.com/antlr/antlr4
SILType	new Sil Type	DECLARATION	NM NM N	C++	swift	https://github.com/apple/swift
QList	new Strokes	ATTRIBUTE	NM NPL	C++	calligra	https://github.com/KDE/calligra
VerificationMode	new Verification Mode	PARAMETER	NM NM N	Java	mockito	https://github.com/mockito/mockito
long	new Warning Header Size	DECLARATION	NM NM NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
float	new Y	ATTRIBUTE	NM N	C++	calligra	https://github.com/KDE/calligra
int	next Giphy Search Offset	ATTRIBUTE	DT NM NM N	Java	Telegram	https://github.com/DrKLO/Telegram
string	next Line	PARAMETER	DT N	C++	kdevelop	https://github.com/KDE/kdevelop
ShaderOutput	node find output by name	FUNCTION	N V N P N	C++	blender	https://github.com/blender/blender
NodeShape	Node Shape	CLASS	NM N	C++	blender	https://github.com/blender/blender
CSGNoiseSource	noise 1	DECLARATION	N D	C++	ogre	https://github.com/OGRECave/ogre
JsonArrayBuilder	non Greedy States Builder	DECLARATION	NM NM NM N	Java	antlr4	https://github.com/antlr/antlr4
sizet	nonce length	ATTRIBUTE	NM N	C++	grpc	https://github.com/grpc/grpc
void	notify Touch Down	FUNCTION	V NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
MockitoException	null Passed To Verify No More Interactions	FUNCTION	N V P V VM DT NPL	Java	mockito	https://github.com/mockito/mockito
NullProgram	Null Program	CLASS	NM N	C++	ogre	https://github.com/OGRECave/ogre
Class	nullable Class	PARAMETER	NM N	Java	junit4	https://github.com/junit-team/junit4
boolean	nulls Ok	FUNCTION	NPL NM	Java	junit4	https://github.com/junit-team/junit4
Num	Num	CLASS	N	C#	grpc	https://github.com/grpc/grpc
int	num Active Contexts	PARAMETER	NM NM NPL	C++	bullet3	https://github.com/bulletphysics/bullet3
u16	Num Active Tris	ATTRIBUTE	NM NM NPL	C++	irrlicht	https://github.com/zaki/irrlicht
gint	num axis events	ATTRIBUTE	NM NM NPL	C	gimp	https://github.com/GNOME/gimp
u32	num body parts	ATTRIBUTE	NM NM NPL	C	irrlicht	https://github.com/zaki/irrlicht
int	num cols	ATTRIBUTE	NM NPL	C	blender	https://github.com/blender/blender
Size	num Factors	PARAMETER	NM NPL	C++	QuantLib	https://github.com/lballabio/QuantLib
int	num Files	PARAMETER	NM NPL	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
u32	num groups	ATTRIBUTE	NM NPL	C	irrlicht	https://github.com/zaki/irrlicht
int	num Keys	PARAMETER	NM NPL	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
gint	num light	ATTRIBUTE	NM N	C	gimp	https://github.com/GNOME/gimp
sizet	num metadata	DECLARATION	NM N	C++	grpc	https://github.com/grpc/grpc
int	num Outs	ATTRIBUTE	NM NPL	Java	openFrameworks	https://github.com/openframeworks/openFrameworks
sizet	num primes	DECLARATION	NM NPL	C	Telegram	https://github.com/DrKLO/Telegram
int	num States	DECLARATION	NM NPL	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
int	num Tess Face Data	ATTRIBUTE	NM NM NM N	C	blender	https://github.com/blender/blender
int16t	num Vec Per Segment	DECLARATION	NM N P N	C	Telegram	https://github.com/DrKLO/Telegram
int	num Verts In A	DECLARATION	NM NPL P N	C	bullet3	https://github.com/bulletphysics/bullet3
Size	number Elementary Vegas	ATTRIBUTE	NM NM NPL	C++	QuantLib	https://github.com/lballabio/QuantLib
u32	number Of Joysticks	DECLARATION	N P NPL	C++	irrlicht	https://github.com/zaki/irrlicht
u16	Number Start	ATTRIBUTE	NM N	C	irrlicht	https://github.com/zaki/irrlicht
String	number Str	PARAMETER	NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
QString	numbering Path	DECLARATION	NM N	C++	calligra	https://github.com/KDE/calligra
OAuthSession	OAuth Session	CLASS	NM N	Java	okhttp	https://github.com/square/okhttp
OAuthSessionFactory	OAuth Session Factory	CLASS	NM NM N	Java	okhttp	https://github.com/square/okhttp
ObjectProjection	obj Proj	DECLARATION	NM N	C++	swift	https://github.com/apple/swift
Object	object With To String	FUNCTION	N P P N	Java	junit4	https://github.com/junit-team/junit4
OdfSymbolType	odf Symbol Type	ATTRIBUTE	NM NM N	C++	calligra	https://github.com/KDE/calligra
OFAndroidLifeCycleHelper	OF Android Life Cycle Helper	CLASS	PRE NM NM NM N	Java	openFrameworks	https://github.com/openframeworks/openFrameworks
OFAndroidObject	OF Android Object	CLASS	PRE NM N	Java	openFrameworks	https://github.com/openframeworks/openFrameworks
OFAndroidSoundPlayer	OF Android Sound Player	CLASS	PRE NM NM N	Java	openFrameworks	https://github.com/openframeworks/openFrameworks
OFAndroidWindow	OF Android Window	CLASS	PRE NM N	Java	openFrameworks	https://github.com/openframeworks/openFrameworks
OFOrientationListener	OF Orientation Listener	CLASS	PRE NM N	Java	openFrameworks	https://github.com/openframeworks/openFrameworks
string	of To Binary	FUNCTION	PRE P N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
grpcclosure	on connect	PARAMETER	P N	C	grpc	https://github.com/grpc/grpc
void	on Group Call Key Sent	FUNCTION	P NM NM N NM	Java	Telegram	https://github.com/DrKLO/Telegram
Void	on Implies	FUNCTION	P V	Java	jenkins	https://github.com/jenkinsci/jenkins
OnItemLongClickListener	on Item Long Click Listener	ATTRIBUTE	P NM NM NM N	Java	Telegram	https://github.com/DrKLO/Telegram
boolean	one Document	DECLARATION	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
Notification	ongoing Call Notification	ATTRIBUTE	NM NM N	Java	Telegram	https://github.com/DrKLO/Telegram
int	OP CODE CONTINUATION	ATTRIBUTE	NM NM N	Java	okhttp	https://github.com/square/okhttp
OpPool	Op Pool	CLASS	NM N	C++	opencv	https://github.com/opencv/opencv
String[]	open Class Tags	DECLARATION	NM NM NPL	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
DeclTable	operator Method Decls	PARAMETER	NM NM NPL	C++	swift	https://github.com/apple/swift
bool	optimize Identity Cast Composition	FUNCTION	V NM NM N	C++	swift	https://github.com/apple/swift
OrderWith	order With	DECLARATION	V P	Java	junit4	https://github.com/junit-team/junit4
Request	order With	FUNCTION	V P	Java	junit4	https://github.com/junit-team/junit4
List	ordered Invocations	PARAMETER	NM NPL	Java	mockito	https://github.com/mockito/mockito
float	ori W	DECLARATION	NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
MockingDetails	original Mocking Details	ATTRIBUTE	NM NM NPL	Java	mockito	https://github.com/mockito/mockito
Set	original Set	PARAMETER	NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
long	other Data Len Bits	ATTRIBUTE	NM NM NM NPL	Java	Telegram	https://github.com/DrKLO/Telegram
char	out buf	PARAMETER	NM N	C	irrlicht	https://github.com/zaki/irrlicht
double[]	out d G	DECLARATION	N NM NM	C	Telegram	https://github.com/DrKLO/Telegram
char[]	out table	PARAMETER	NM N	C	bullet3	https://github.com/bulletphysics/bullet3
TestRule	outer Rule	PARAMETER	NM N	Java	junit4	https://github.com/junit-team/junit4
T	output array	PARAMETER	NM N	C++	grpc	https://github.com/grpc/grpc
OutputDelegatePrivate	Output Delegate Private	CLASS	NM N NM	C++	kdevelop	https://github.com/KDE/kdevelop
int	overlap	PARAMETER	N	C	Telegram	https://github.com/DrKLO/Telegram
auto	overriden Function It	DECLARATION	NM NM N	C++	kdevelop	https://github.com/KDE/kdevelop
unzglobalinfo	p global info 32	PARAMETER	PRE NM N D	C	bullet3	https://github.com/bulletphysics/bullet3
long	packet Sample Count	PARAMETER	NM NM N	Java	Telegram	https://github.com/DrKLO/Telegram
Optional	packet sent	ATTRIBUTE	NM N	C	grpc	https://github.com/grpc/grpc
auto	PAI Arg	DECLARATION	NM N	C++	swift	https://github.com/apple/swift
GtkWidget	paint radio	DECLARATION	NM N	C	gimp	https://github.com/GNOME/gimp
bool	palette poll	FUNCTION	N V	C	blender	https://github.com/blender/blender
sizet	palette size	PARAMETER	NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
ParallelComputer	Parallel Computer	CLASS	NM N	Java	junit4	https://github.com/junit-team/junit4
ParameterDef	param Def	DECLARATION	NM N	C	ogre	https://github.com/OGRECave/ogre
Assignments	parameter Assignment	PARAMETER	NM N	Java	junit4	https://github.com/junit-team/junit4
ParameterSignature	Parameter Signature	CLASS	NM N	Java	junit4	https://github.com/junit-team/junit4
String	PARENT	ATTRIBUTE	N	Java	jenkins	https://github.com/jenkinsci/jenkins
vector	parent field	PARAMETER	NM N	C++	opencv	https://github.com/opencv/opencv
boolean	parent Had Big Change	PARAMETER	N V NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
List	parent Pairs	FUNCTION	NM NPL	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
Attribute	parse Attribute Def	FUNCTION	V NM N	Java	antlr4	https://github.com/antlr/antlr4
long	parse Expires	FUNCTION	V NPL	Java	okhttp	https://github.com/square/okhttp
ParseJobPrivate	Parse Job Private	CLASS	NM N NM	C++	kdevelop	https://github.com/KDE/kdevelop
long	parse Max Age	FUNCTION	V NM N	Java	okhttp	https://github.com/square/okhttp
List parserErrors	parser Errors	ATTRIBUTE	NM NPL	Java	junit4	https://github.com/junit-team/junit4
bool	parsing	PARAMETER	V	C++	calligra	https://github.com/KDE/calligra
PartDocumentPrivate	Part Document Private	CLASS	NM N NM	C++	kdevelop	https://github.com/KDE/kdevelop
int	parts Size	DECLARATION	NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
MachineInstContainer	Pass Machine Instructions	PARAMETER	NM NM NPL	C	ogre	https://github.com/OGRECave/ogre
string	passphrase	DECLARATION	N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
PatchCoordBuffer	Patch Coord Buffer	CLASS	NM NM N	C++	blender	https://github.com/blender/blender
QString	path With Native Separators	FUNCTION	N P NM NPL	C	kdevelop	https://github.com/KDE/kdevelop
PatternsAnnotations	Patterns Annotations	CLASS	NM NPL	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
Real	pd Sum	DECLARATION	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
char	pem key	PARAMETER	NM N	C++	grpc	https://github.com/grpc/grpc
bool	pen Loaded	PARAMETER	N V	C++	calligra	https://github.com/KDE/calligra
PhysicsClientExample	Physics Client Example	CLASS	NM NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
int	pi Hash	PARAMETER	PRE N	C	Telegram	https://github.com/DrKLO/Telegram
c8	pickup	ATTRIBUTE	N	C	irrlicht	https://github.com/zaki/irrlicht
PiecewiseConstantAbcdVariance	Piecewise Constant Abcd Variance	CLASS	NM NM NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
s32	pixel Width	ATTRIBUTE	NM N	C	irrlicht	https://github.com/zaki/irrlicht
string[]	platform String	DECLARATION	NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
void	png do strip channel	FUNCTION	NM V V N	C	irrlicht	https://github.com/zaki/irrlicht
PNGAPI	png get rows	FUNCTION	NM V NPL	C	irrlicht	https://github.com/zaki/irrlicht
PNGAPI	png get unknown chunks	FUNCTION	NM V NM NPL	C	irrlicht	https://github.com/zaki/irrlicht
void	png init palette transformations	FUNCTION	NM V NM NPL	C	irrlicht	https://github.com/zaki/irrlicht
void	png read IDAT data	FUNCTION	NM V NM N	C	irrlicht	https://github.com/zaki/irrlicht
void	pnm load raw pfm	FUNCTION	NM V NM N	C	gimp	https://github.com/GNOME/gimp
Point3_	Point 3	CLASS	N D	C++	opencv	https://github.com/opencv/opencv
int	point index	PARAMETER	NM N	C	blender	https://github.com/blender/blender
PointerMap	Pointer Map	CLASS	NM N	C++	grpc	https://github.com/grpc/grpc
String	polling Log	PARAMETER	NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
PostFile	Post File	CLASS	NM N	Java	okhttp	https://github.com/square/okhttp
PostScriptDocument	Post Script Document	CLASS	NM NM N	Java	antlr4	https://github.com/antlr/antlr4
Map	pre Map	PARAMETER	P N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
PredicateWrapper	Predicate Wrapper	CLASS	NM N	C++	blender	https://github.com/blender/blender
String	PREF FONT	ATTRIBUTE	NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
aiVector3D	present Scaling	DECLARATION	NM N	C++	openFrameworks	https://github.com/openframeworks/openFrameworks
int	prev num hooks	DECLARATION	DT NM NPL	C++	grpc	https://github.com/grpc/grpc
IntervalSet	prev Property	ATTRIBUTE	DT N	Java	antlr4	https://github.com/antlr/antlr4
int	prev Signal Bar Count	DECLARATION	DT NM NM N	C++	Telegram	https://github.com/DrKLO/Telegram
String	previous Caption	ATTRIBUTE	DT N	Java	Telegram	https://github.com/DrKLO/Telegram
QModelIndex	previous Index	PARAMETER	DT N	C++	calligra	https://github.com/KDE/calligra
Real	previous Initial Value	PARAMETER	DT NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
bool	previous Is Valid	PARAMETER	DT V NM	C++	calligra	https://github.com/KDE/calligra
int	previous Stream Id	DECLARATION	DT NM N	Java	okhttp	https://github.com/square/okhttp
D3D11PRIMITIVETOPOLOGY	prim Type	DECLARATION	NM N	C++	ogre	https://github.com/OGRECave/ogre
PrintEvents	Print Events	CLASS	NM NPL	Java	okhttp	https://github.com/square/okhttp
int	print Features Up to	ATTRIBUTE	V NPL VM P	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
boolean	print t	PARAMETER	V N	C	gimp	https://github.com/GNOME/gimp
ProblemReporterFactory	Problem Reporter Factory	CLASS	NM NM N	C++	kdevelop	https://github.com/KDE/kdevelop
Process	Process	CLASS	N	C++	gimp.idents	https://github.com/GNOME/gimp
sharedptr	process Helper	FUNCTION	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
Features	processing Level	DECLARATION	NM N	C++	kdevelop	https://github.com/KDE/kdevelop
Bool	progress out	DECLARATION	V N	C	irrlicht	https://github.com/zaki/irrlicht
bool	progressive	PARAMETER	N	C++	blender	https://github.com/blender/blender
ProjectControllerPrivate	Project Controller Private	CLASS	NM N NM	C++	kdevelop	https://github.com/KDE/kdevelop
QString	project file	PARAMETER	NM N	C++	kdevelop	https://github.com/KDE/kdevelop
Path	projects Dir	PARAMETER	NM N	C++	kdevelop	https://github.com/KDE/kdevelop
List	promises	PARAMETER	NPL	Java	okhttp	https://github.com/square/okhttp
String	pronoun	PARAMETER	N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
GimpColorProfile	proof profile	ATTRIBUTE	NM N	C	gimp	https://github.com/GNOME/gimp
IntervalSet	property Interval Set	PARAMETER	NM NM N	Java	antlr4	https://github.com/antlr/antlr4
int	provider Code	DECLARATION	NM N	Java	Telegram	https://github.com/DrKLO/Telegram
PublishResponse	Publish Response	CLASS	NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
void	push Reset Later	FUNCTION	V N VM	Java	okhttp	https://github.com/square/okhttp
PutWatchRequest	put Watch Request	PARAMETER	NM NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
PyObject	pybullet compute View Matrix	FUNCTION	PRE V NM N	C	bullet3	https://github.com/bulletphysics/bullet3
sendrequest	q tail	ATTRIBUTE	NM N	C	grpc	https://github.com/grpc/grpc
QRDetect	QR Detect	CLASS	NM N	C++	opencv	https://github.com/opencv/opencv
Quad	Quad	CLASS	N	C++	blender	https://github.com/blender/blender
long	query Timeout In Ms	PARAMETER	NM N P NPL	Java	elasticsearch	https://github.com/elastic/elasticsearch
GrammarAST	question AST	PARAMETER	NM N	Java	antlr4	https://github.com/antlr/antlr4
Quote	Quote	CLASS	N	C++	QuantLib	https://github.com/lballabio/QuantLib
RangeInRevision	r	PARAMETER	N	C++	kdevelop	https://github.com/KDE/kdevelop
camhdr	r hdr	DECLARATION	NM N	C	openFrameworks	https://github.com/openframeworks/openFrameworks
float	radius	PARAMETER	N	C	gimp	https://github.com/GNOME/gimp
sharedptr	random Walk	PARAMETER	NM N	C++	QuantLib	https://github.com/lballabio/QuantLib
void	rate Pointer	PARAMETER	NM N	C++	bullet3	https://github.com/bulletphysics/bullet3
Object	raw Arguments	ATTRIBUTE	NM NPL	Java	mockito	https://github.com/mockito/mockito
List	raw Extra Interfaces	DECLARATION	NM NM NPL	Java	mockito	https://github.com/mockito/mockito
GPUVertBufRaw	raw nor	DECLARATION	NM N	C	blender	https://github.com/blender/blender
SILValue	RC Identity	ATTRIBUTE	NM N	C	swift	https://github.com/apple/swift
float	rcp len 2	DECLARATION	NM N D	C	bullet3	https://github.com/bulletphysics/bullet3
void	read Element Text Span	FUNCTION	V NM NM N	C++	calligra	https://github.com/KDE/calligra
ReadBufferOperation	read Operation	PARAMETER	NM N	C++	blender	https://github.com/blender/blender
void	read Pass	FUNCTION	V N	C++	irrlicht	https://github.com/zaki/irrlicht
List	read Response	FUNCTION	V N	Java	okhttp	https://github.com/square/okhttp
FLACbool	read subframe	FUNCTION	V N	C	Telegram	https://github.com/DrKLO/Telegram
char	Read Text File	FUNCTION	V NM N	C++	ogre	https://github.com/OGRECave/ogre
void	read White Space	FUNCTION	V NM N	Java	corenlp	https://github.com/stanfordnlp/CoreNLP
int	reader Flags	PARAMETER	NM NPL	Java	mockito	https://github.com/mockito/mockito
void	reapply Filter	FUNCTION	V N	C++	calligra	https://github.com/KDE/calligra
String	received Token Signature	DECLARATION	NM NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
ReconstructUpdateCallback	Reconstruct Update Callback	CLASS	NM NM N	C++	blender	https://github.com/blender/blender
RecordHeader	Record Header	CLASS	NM N	C++	calligra	https://github.com/KDE/calligra
int	recorded Matchers Size	DECLARATION	NM NM N	Java	mockito	https://github.com/mockito/mockito
u32	rectangle Index	DECLARATION	NM N	C++	irrlicht	https://github.com/zaki/irrlicht
JSONObject	reduced Json	DECLARATION	NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
int	reduction Indices	ATTRIBUTE	NM NPL	C++	opencv	https://github.com/opencv/opencv
QPointF	ref Point Offset Percent	ATTRIBUTE	NM NM NM N	C++	calligra	https://github.com/KDE/calligra
Map	referee Set Map	PARAMETER	NM NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
List	reference Index Meta Datas	ATTRIBUTE	NM NM NM NPL	Java	elasticsearch	https://github.com/elastic/elasticsearch
SourceRange	Reference Range	PARAMETER	NM N	C++	swift	https://github.com/apple/swift
String	REFRESH INTERVAL IN MILLIS	ATTRIBUTE	NM N P NPL	Java	elasticsearch	https://github.com/elastic/elasticsearch
MeanMetric	refresh Metric	PARAMETER	NM N	Java	elasticsearch	https://github.com/elastic/elasticsearch
